step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,13,1,29.7
1836,13,1,27.3
2448,16,1,31.3
3060,16,1,25.3
3672,16,1,25.7
4284,16,1,27.3
4896,16,1,28.7
5508,16,1,26.7
6120,16,1,27.3
6732,16,1,28.0
7344,16,1,29.7
7956,16,100,27.7
8568,87,72,29.3
9180,0,39,24.3
9792,84,36,29.0
10404,3,24,26.7
11016,89,19,26.7
11628,10,44,24.0
12240,88,42,28.3
12852,8,36,23.7
13464,92,34,26.7
14076,4,92,28.7
14688,80,94,27.3
15300,8,37,25.0
15912,90,37,28.7
16524,3,20,26.7
17136,90,20,26.7
17748,5,50,24.7
18360,84,50,31.3
18972,14,32,23.7
19584,99,32,24.3
20196,12,55,20.0
20808,81,55,31.3
21420,3,26,25.7
22032,88,26,27.0
22644,5,51,26.3
23256,84,43,31.7
23868,9,12,28.0
24480,13,90,26.0
25092,68,54,29.3
25704,1,31,24.7
26316,88,26,25.0
26928,2,65,27.7
27540,76,65,35.0
28152,11,43,23.0
28764,87,43,34.0
29376,2,34,23.3
29988,88,34,28.7
30600,5,10,29.0
31212,7,9,29.0
31824,8,9,29.3
32436,11,8,24.7
33048,17,8,26.3
33660,25,0,25.0
34272,10,0,30.3
34884,18,0,28.3
35496,26,0,26.0
36108,17,0,28.7
36720,26,0,26.0
37332,18,0,28.7
37944,26,0,26.3
38556,16,0,28.3
39168,26,0,25.3
39780,7,0,27.7
40392,14,0,29.5
41004,19,0,27.0
41616,24,0,27.7
42228,28,100,24.0
42840,72,68,29.3
43452,4,33,24.3
44064,89,33,27.7
44676,2,11,30.0
45288,2,9,36.7
45900,2,3,36.3
46512,2,97,36.3
47124,65,97,30.0
47736,96,47,25.7
48348,5,36,25.7
48960,91,34,28.0
49572,2,92,29.0
50184,63,92,31.7
50796,91,48,27.0
51408,2,34,25.3
52020,85,31,28.0
52632,4,84,29.7
53244,52,84,34.7
53856,88,44,29.7
54468,2,29,23.7
55080,82,24,29.7
55692,0,47,24.3
56304,68,47,29.0
56916,101,32,26.0
57528,0,40,25.3
58140,79,50,31.8
58752,5,30,25.7
59364,90,23,26.7
59976,2,38,23.3
60588,82,93,30.7
61200,1,31,22.3
61812,85,19,27.3
62424,100,52,25.7
63036,4,26,26.7
63648,92,20,28.3
64260,1,51,27.0
64872,79,51,30.0
65484,6,33,26.0
66096,97,27,27.0
66708,14,53,22.7
67320,93,46,27.7
67932,11,23,26.7
68544,7,23,26.3
69156,100,22,27.7
69768,4,58,25.3
70380,73,58,34.7
70992,7,33,25.3
71604,88,32,27.0
72216,3,101,29.0
72828,53,101,29.3
73440,91,30,23.3
74052,5,50,20.7
74664,80,50,32.3
75276,10,10,30.3
75888,11,95,27.7
76500,60,95,29.3
77112,94,20,26.0
77724,6,25,24.7
78336,94,25,26.0
78948,0,34,25.3
79560,85,3,29.3
80172,100,3,30.3
80784,3,3,29.3
81396,3,3,35.7
82008,3,3,34.3
82620,3,3,34.3
83232,3,3,34.7
83844,3,3,35.7
84456,3,3,32.3
85068,3,3,36.3
85680,3,3,37.7
86292,3,3,33.0
86904,3,3,37.3
87516,3,3,34.3
88128,5,3,28.3
88740,6,3,27.7
89352,6,3,34.0
89964,9,3,27.7
90576,9,3,32.7
91188,10,0,28.3
91800,10,99,33.0
92412,51,99,32.0
93024,80,32,30.3
93636,2,5,28.0
94248,2,101,34.0
94860,39,101,28.3
95472,72,43,32.7
96084,2,24,25.0
96696,87,20,27.3
97308,97,34,24.7
97920,97,65,34.7
98532,97,28,29.0
99144,99,38,24.0
99756,1,97,30.3
100368,51,99,30.7
100980,87,35,27.7
101592,3,20,27.7
102204,6,51,23.7
102816,71,60,29.7
