step_time,gneJ00_offset,gneJ9_offset,reward
612,70,82,12.607476635514018
918,63,71,-2.455357142857143
1224,56,68,-4.296610169491525
1530,48,65,-2.7107438016528924
1836,41,79,-5.843283582089552
2142,36,8,1.143884892086331
2448,59,101,8.123893805309734
2754,21,98,0.1810344827586207
3060,87,96,3.556603773584906
3366,98,94,4.771428571428571
3672,19,92,1.2710280373831775
3978,42,83,-6.948275862068965
4284,17,81,0.08571428571428572
4590,61,79,-4.177570093457944
4896,56,76,-1.7545454545454546
5202,8,73,0.8849557522123894
5508,1,70,-1.4137931034482758
5814,96,71,7.900900900900901
6120,89,72,2.516949152542373
6426,81,71,-1.1531531531531531
6732,74,69,-0.7606837606837606
7038,59,62,-3.9411764705882355
7344,34,79,-1.900709219858156
7650,29,77,3.238532110091743
7956,52,50,-7.470588235294118
8262,27,40,-1.8424657534246576
8568,34,62,-4.079646017699115
8874,27,60,13.579365079365079
9180,20,82,-5.787096774193548
9486,13,73,18.27927927927928
9792,25,68,-2.889830508474576
10098,17,66,-5.683333333333334
10404,5,64,-0.646551724137931
10710,0,63,4.648148148148148
11016,97,54,2.1545454545454548
11322,90,55,1.0256410256410255
11628,83,30,3.080357142857143
11934,76,26,0.05504587155963303
12240,88,23,3.55045871559633
12546,9,21,0.990990990990991
12852,95,18,-1.1929824561403508
13158,16,17,1.5478260869565217
13464,39,13,-0.6890756302521008
13770,79,11,-2.024793388429752
14076,86,9,3.160377358490566
14382,79,6,0.22641509433962265
14688,41,4,-0.6388888888888888
14994,85,35,-5.670391061452514
15300,87,34,2.111842105263158
15606,8,32,-0.9285714285714286
15912,31,29,7.69811320754717
16218,94,27,1.276190476190476
16524,15,25,-0.04672897196261682
16830,8,37,-0.7610619469026548
17136,15,34,-3.625
17442,38,46,-6.064864864864865
17748,61,44,4.485915492957746
18054,54,41,0.2809917355371901
18360,61,32,-5.428571428571429
18666,84,29,18.433962264150942
18972,45,23,-2.4128440366972477
19278,68,14,0.2033898305084746
19584,54,11,-7.033057851239669
19890,61,74,-1.979020979020979
20196,54,71,-1.6434782608695653
20502,74,62,-3.2580645161290325
20808,67,55,4.657657657657658
21114,60,52,-3.5652173913043477
21420,56,49,-4.739495798319328
21726,10,46,-3.192857142857143
22032,33,44,-2.3028169014084505
22338,26,42,-4.895833333333333
22644,33,40,0.3219178082191781
22950,40,38,-3.9324324324324325
23256,63,39,-5.827102803738318
23562,86,36,12.713333333333333
23868,7,33,6.032679738562091
24174,14,30,-5.282051282051282
24480,7,92,18.74561403508772
24786,30,89,4.136363636363637
25092,33,80,-4.705882352941177
25398,28,78,-1.8981481481481481
25704,25,76,-2.7
26010,18,74,-4.375
26316,11,72,1.0272727272727273
26622,3,70,-0.11206896551724138
26928,98,67,3.6964285714285716
