step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,2,18,-7,85
1530,3,31,1,84
2040,4,95,2,82
2550,24,95,5,77
3060,25,86,2,75
3570,28,77,-4,79
4080,31,68,2,77
4590,5,59,0,77
5100,69,50,-6,83
5610,94,53,7,76
6120,17,73,2,74
6630,81,64,-4,78
7140,4,26,-9,87
7650,5,39,10,77
8160,69,1,-5,82
8670,45,20,5,77
9180,95,39,1,76
9690,18,28,-8,84
10200,70,41,-2,86
10710,79,44,-1,87
11220,13,57,6,81
11730,77,48,1,80
12240,14,68,3,77
12750,78,59,-4,81
13260,1,21,-2,83
13770,2,34,1,82
14280,66,98,3,79
14790,48,89,-5,84
15300,30,80,10,74
15810,12,71,-1,75
16320,47,62,1,74
16830,29,53,-5,79
17340,81,66,-5,84
17850,4,77,5,79
18360,24,68,4,75
18870,25,59,0,75
19380,101,50,2,73
19890,24,39,-9,82
20400,76,50,-1,83
20910,13,69,9,74
21420,14,60,-2,76
21930,78,51,-8,84
22440,1,52,6,78
22950,65,61,-1,79
23460,47,72,3,76
23970,29,63,-2,78
24480,54,54,-3,81
24990,36,65,11,70
25500,18,56,-11,81
26010,82,47,3,78
26520,91,67,-5,83
27030,14,29,3,80
27540,15,42,3,77
28050,79,4,-9,86
28560,55,23,6,80
29070,3,36,-3,83
29580,67,70,1,82
30090,49,81,5,77
30600,31,72,0,77
31110,5,63,6,71
31620,6,54,-10,81
32130,70,45,5,76
32640,7,46,-4,80
33150,71,55,-7,87
33660,96,66,9,78
34170,19,71,4,74
34680,83,62,-5,79
35190,6,24,-5,84
35700,7,37,2,82
36210,71,101,7,75
36720,53,92,-11,86
37230,35,83,7,79
37740,38,74,3,76
38250,20,65,0,76
38760,84,56,-8,84
39270,7,57,7,77
39780,71,48,-2,79
40290,96,49,-1,80
40800,3,10,-6,86
41310,4,23,10,76
41820,5,36,-11,87
42330,69,100,4,83
42840,51,91,5,78
43350,33,82,2,76
43860,36,73,6,70
44370,18,64,-12,82
44880,82,55,-2,84
45390,5,75,6,78
45900,25,66,5,73
46410,101,57,-7,80
46920,8,77,1,79
47430,9,68,0,79
47940,37,59,-2,81
48450,89,50,2,79
48960,98,70,1,78
49470,21,90,5,73
49980,22,81,0,73
50490,25,72,0,73
51000,28,63,2,71
51510,2,54,-3,74
52020,3,74,-6,80
52530,6,65,3,77
53040,7,56,0,77
53550,10,47,-5,82
54060,74,16,2,80
54570,91,87,-1,81
55080,12,98,2,79
55590,32,89,4,75
56100,35,80,-2,77
56610,38,71,3,74
57120,20,62,-6,80
57630,84,53,1,79
58140,93,73,6,73
58650,16,74,-3,76
59160,17,65,3,73
59670,81,56,-11,84
60180,4,57,3,81
60690,7,48,3,78
61200,71,17,-3,81
61710,88,88,-2,83
62220,9,24,-3,86
62730,10,37,4,82
63240,11,101,5,77
63750,31,92,6,71
64260,13,83,-6,77
64770,14,74,3,74
65280,15,65,-1,75
65790,79,56,-9,84
66300,2,57,6,78
66810,5,48,4,74
67320,69,39,-6,80
67830,91,42,-1,81
68340,11,31,-2,83
68850,75,44,3,80
69360,84,71,-7,87
69870,7,82,7,80
70380,27,73,1,79
70890,91,64,-1,80
71400,14,84,2,78
71910,15,75,1,77
72420,79,66,-3,80
72930,2,77,2,78
73440,22,68,2,76
73950,25,59,-2,78
74460,89,50,-4,82
74970,98,70,4,78
75480,21,90,2,76
75990,24,81,-3,79
76500,27,72,-3,82
77010,91,63,3,79
77520,14,83,5,74
78030,15,74,-1,75
78540,79,65,-7,82
79050,2,76,7,75
79560,22,16,-13,88
80070,61,55,12,76
80580,43,66,0,76
81090,25,57,-5,81
81600,89,48,0,81
82110,98,68,2,79
82620,35,88,6,73
83130,101,79,-11,84
83640,24,80,7,77
84150,27,71,-1,78
84660,1,62,1,77
85170,4,53,-3,80
85680,68,44,-8,88
86190,77,47,5,83
86700,14,45,2,81
87210,78,44,2,79
87720,87,64,-6,85
88230,10,65,7,78
88740,13,56,-6,84
89250,77,47,4,80
89760,86,67,2,78
90270,9,87,2,76
90780,29,78,0,76
91290,32,69,-3,79
91800,6,60,4,75
92310,9,51,-2,77
92820,73,42,2,75
93330,96,62,-2,77
93840,33,82,2,75
94350,15,73,3,72
94860,79,64,-11,83
95370,2,75,7,76
95880,22,66,3,73
96390,86,57,-11,84
96900,23,77,9,75
97410,87,68,-12,87
97920,10,69,11,76
98430,30,60,2,74
98940,12,51,-12,86
99450,76,20,5,81
99960,93,91,-4,85
100470,14,0,4,81
100980,53,39,5,76
101490,35,50,0,76
102000,87,63,-5,81
102510,10,83,-2,83
103020,30,74,15,68
103530,12,65,-3,71
104040,76,56,-12,83
104550,13,57,11,72
105060,77,48,-9,81
105570,14,68,9,72
106080,78,59,-9,81
106590,38,60,4,77
107100,20,51,-9,86
107610,29,50,10,76
108120,81,63,0,76
108630,4,64,0,76
109140,5,3,-8,84
109650,16,42,8,76
110160,80,41,-6,82
110670,1,68,9,73
111180,16,59,-5,78
111690,80,50,-3,81
112200,17,70,5,76
112710,81,61,-5,81
113220,18,62,0,81
113730,82,53,-5,86
114240,19,73,9,77
114750,83,64,-6,83
115260,6,65,8,75
115770,9,56,-3,78
116280,73,47,-9,87
116790,10,66,13,74
117300,74,57,-13,87
117810,11,68,9,78
118320,75,59,-9,87
118830,12,62,9,78
119340,76,53,-4,82
119850,13,54,5,77
120360,77,23,-9,86
120870,0,12,8,78
121380,11,36,-5,83
121890,75,35,1,82
122400,98,62,10,72
122910,19,82,-2,74
123420,20,73,-1,75
123930,84,64,-5,80
124440,21,65,3,77
124950,85,56,-3,80
125460,22,76,-3,83
125970,86,67,-2,85
126480,23,68,9,76
126990,87,59,-7,83
127500,24,79,13,70
128010,27,70,-2,72
128520,1,61,-2,74
129030,2,52,0,74
129540,66,43,-8,82
130050,66,62,7,75
130560,48,73,-6,81
131070,30,64,10,71
131580,12,55,-7,78
132090,76,46,-4,82
132600,99,66,2,80
133110,36,86,5,75
133620,18,77,2,73
134130,82,68,-11,84
134640,19,69,6,78
135150,83,60,-5,83
135660,20,61,9,74
136170,84,52,-6,80
136680,21,79,9,71
137190,24,70,-9,80
137700,88,61,-1,81
138210,25,81,9,72
138720,28,72,-2,74
139230,2,63,-4,78
139740,5,54,-7,85
140250,69,45,2,83
140760,6,48,4,79
141270,70,39,-2,81
141780,93,66,-4,85
142290,30,67,-1,86
142800,94,58,7,79
143310,31,78,-1,80
143820,5,69,8,72
144330,25,60,-2,74
144840,101,51,-3,77
145350,29,38,-7,84
145860,81,51,6,78
146370,9,71,1,77
146880,29,62,2,75
147390,3,53,2,73
147900,6,44,-3,76
148410,70,35,-5,81
148920,93,62,-2,83
149430,30,82,9,74
149940,33,73,1,73
150450,15,64,-8,81
150960,79,55,-7,88
151470,16,56,15,73
151980,80,47,-14,87
152490,28,74,10,77
153000,2,65,0,77
153510,5,56,-3,80
154020,69,47,4,76
154530,6,48,-5,81
155040,70,39,1,80
155550,80,59,-7,87
156060,17,60,10,77
156570,20,51,-2,79
157080,84,20,-3,82
157590,101,91,2,80
158100,51,0,-1,81
158610,27,19,0,81
159120,66,30,0,81
159630,89,57,1,80
160140,26,77,10,70
160650,29,68,-2,72
161160,11,59,2,70
161670,75,50,-12,82
162180,12,51,3,79
162690,76,42,-8,87
163200,4,69,13,74
163710,24,60,-2,76
164220,100,51,-1,77
164730,28,40,-4,81
165240,80,51,-2,83
165750,17,52,7,76
166260,81,43,-3,79
166770,9,70,4,75
167280,29,61,-1,76
167790,81,52,-4,80
168300,18,79,4,76
168810,21,70,-2,78
169320,62,61,1,77
169830,44,72,-1,78
170340,26,63,1,77
170850,0,83,-1,78
171360,20,23,-2,80
171870,72,17,-1,81
172380,48,88,1,80
172890,30,79,2,78
173400,12,77,1,77
173910,78,68,-7,84
174420,101,79,11,73
174930,24,80,1,72
175440,27,71,-3,75
175950,30,62,0,75
176460,82,53,-4,79
176970,19,54,5,74
177480,83,45,-11,85
177990,11,72,12,73
178500,77,63,-13,86
179010,14,74,14,72
179520,80,65,-16,88
180030,3,76,13,75
180540,23,67,2,73
181050,87,58,-6,79
181560,24,59,0,79
182070,100,50,4,75
182580,28,39,-3,78
183090,10,52,1,77
183600,74,43,-8,85
184110,97,70,9,76
184620,20,71,5,71
185130,84,62,-14,85
185640,21,63,8,77
186150,85,54,-8,85
186660,13,81,10,75
187170,79,72,-14,89
187680,29,83,21,68
188190,11,74,-6,74
188700,77,65,-9,83
189210,0,66,10,73
189720,20,57,-2,75
190230,52,48,0,75
190740,34,59,-1,76
191250,16,50,0,76
191760,80,41,-6,82
192270,87,68,-2,84
192780,10,69,3,81
193290,74,60,-2,83
193800,11,71,6,77
194310,77,62,-8,85
194820,14,65,14,71
195330,78,56,-11,82
195840,15,57,7,75
196350,79,48,-5,80
196860,0,49,4,76
197370,64,40,-4,80
197880,87,43,-2,82
198390,94,32,-4,86
198900,17,21,6,80
199410,69,60,-3,83
199920,51,71,3,80
200430,33,62,0,80
200940,85,53,5,75
201450,22,54,-1,76
201960,98,23,-7,83
202470,13,12,1,82
202980,52,51,8,74
203490,34,52,-4,78
204000,86,53,-1,79
204510,23,54,1,78
205020,87,23,3,75
205530,63,12,-3,78
206040,39,83,8,70
206550,21,74,-5,75
207060,85,65,-2,77
207570,8,66,2,75
208080,11,57,0,75
208590,75,48,-4,79
209100,12,49,-4,83
209610,76,18,3,80
210120,52,89,-1,81
210630,34,80,5,76
211140,16,71,0,76
211650,80,62,-9,85
212160,17,63,8,77
212670,81,54,-9,86
213180,18,57,15,71
213690,82,97,-12,83
214200,64,16,-1,84
214710,40,87,11,73
215220,22,78,1,72
215730,86,69,-12,84
216240,9,70,10,74
216750,75,61,-15,89
217260,12,62,9,80
217770,76,53,-7,87
218280,13,54,10,77
218790,77,45,-3,80
219300,100,48,6,74
219810,48,37,-10,84
220320,30,48,4,80
220830,82,49,4,76
221340,3,50,-3,79
221850,67,41,3,76
222360,90,44,-12,88
222870,13,33,7,81
223380,77,46,7,74
223890,100,47,-5,79
224400,21,36,-4,83
