step_time,gneJ00_offset,gneJ9_offset,reward
612,24,34,-12.144508670520231
918,70,76,-3.5
1224,4,80,1.955
1530,73,31,1.4527027027027026
1836,67,97,-7.671532846715328
2142,96,12,-1.5885416666666667
2448,19,19,3.4054054054054053
2754,71,22,5.0588235294117645
3060,41,26,-1.5644171779141105
3366,26,18,9.258928571428571
3672,40,84,-2.858108108108108
3978,74,89,-7.837078651685394
4284,96,42,3.302469135802469
4590,96,93,-10.339622641509434
4896,4,86,16.703389830508474
5202,101,94,4.0
5508,42,90,-2.3859649122807016
5814,3,11,-4.292517006802721
6120,20,88,7.007751937984496
6426,98,24,-5.3768115942028984
6732,6,24,0.7424242424242424
7038,41,6,4.92741935483871
7344,53,96,0.9834710743801653
7650,5,68,-7.602941176470588
7956,100,55,4.983471074380165
8262,3,9,-6.6923076923076925
8568,80,11,5.2695035460992905
8874,45,89,4.9375
9180,49,93,-3.187192118226601
9486,82,37,-1.4491017964071857
9792,63,66,2.950354609929078
10098,35,85,-3.3550295857988166
10404,27,12,8.073170731707316
10710,1,32,-2.917293233082707
11016,101,25,7.89622641509434
11322,96,26,-8.481481481481481
11628,100,98,-0.9626865671641791
11934,60,65,-0.02877697841726619
12240,44,100,-6.36875
12546,98,50,0.08441558441558442
12852,18,85,2.764705882352941
13158,69,74,6.8
13464,14,75,-0.7578947368421053
13770,44,39,2.3575757575757574
14076,20,0,-4.392307692307693
14382,8,97,7.781818181818182
14688,64,31,-3.573248407643312
14994,16,34,-3.4361702127659575
15300,0,70,15.168067226890756
15606,89,73,-7.516949152542373
15912,36,55,-6.053691275167785
16218,55,41,-4.3496932515337425
16524,39,45,1.7696969696969698
16830,3,73,0.7142857142857143
17136,56,14,7.2727272727272725
17442,43,73,-2.687074829931973
17748,35,83,11.095652173913043
18054,27,49,-3.2845528455284554
18360,92,42,0.12612612612612611
18666,28,88,-6.719512195121951
18972,10,0,3.5806451612903225
19278,85,12,-2.536764705882353
19584,51,94,7.227642276422764
19890,14,94,-18.46315789473684
20196,55,95,16.97590361445783
20502,63,61,-1.1958041958041958
20808,34,20,-0.38235294117647056
21114,54,92,7.742857142857143
21420,95,59,-5.1931034482758625
21726,53,7,0.6423841059602649
22032,11,39,-2.162921348314607
22338,34,61,0.0374331550802139
22644,74,82,-0.9818181818181818
22950,67,18,0.24087591240875914
23256,87,86,0.3767123287671233
23562,65,53,2.6906474820143886
23868,25,24,-5.363128491620111
24174,59,70,5.561728395061729
24480,26,40,-4.109756097560975
24786,50,77,0.6114285714285714
25092,9,31,2.8055555555555554
25398,20,43,-0.900497512437811
25704,77,35,10.68695652173913
26010,45,62,-7.79874213836478
26316,73,29,-5.811428571428571
26622,5,45,1.1631578947368422
26928,32,21,11.96124031007752
27234,33,14,1.9224137931034482
27540,85,0,-3.3728813559322033
27846,19,92,5.3826086956521735
28152,26,64,-2.0357142857142856
28458,43,26,-5.567415730337078
28764,87,18,9.0
29070,40,73,-2.006289308176101
29376,1,76,-1.2684563758389262
29682,25,70,2.0074626865671643
29988,74,51,-6.098039215686274
30294,12,49,-0.0967741935483871
30600,60,26,6.31496062992126
30906,89,21,1.944954128440367
31212,65,77,-2.3093525179856114
31518,64,21,-4.714285714285714
31824,71,19,8.603603603603604
32130,21,40,-9.098360655737705
32436,2,50,12.765151515151516
32742,29,71,-2.657303370786517
33048,61,95,-2.097142857142857
33354,49,95,-10.974193548387097
33660,2,91,17.43362831858407
33966,67,84,0.6916666666666667
34272,1,93,-6.596059113300493
34578,80,34,11.125984251968504
34884,9,94,-6.379746835443038
35190,2,56,13.572649572649572
35496,94,2,-5.699115044247788
35802,35,64,1.5174825174825175
36108,66,41,-5.9815950920245395
36414,7,24,6.484126984126984
36720,99,14,5.594827586206897
37026,36,23,-2.7261904761904763
37332,77,79,-1.607843137254902
37638,3,91,-0.5771144278606966
37944,61,15,1.3875
38250,42,96,1.5241935483870968
38556,3,75,-5.077519379844961
38862,79,79,3.647887323943662
39168,53,62,-3.112676056338028
39474,44,23,-2.3875
39780,50,69,2.1104294478527605
40086,14,69,-1.4892086330935252
40392,68,83,3.679738562091503
40698,41,2,-1.4662576687116564
41004,79,32,-2.947976878612717
41310,44,38,4.15625
41616,84,1,-5.2885906040268456
41922,48,70,6.153284671532846
42228,10,60,-1.8391608391608392
42534,25,47,2.1019108280254777
42840,71,28,4.942622950819672
43146,47,68,-5.452229299363057
43452,90,65,-3.7194244604316546
43758,16,55,6.0
44064,91,95,-0.8692307692307693
44370,75,29,-1.565891472868217
44676,42,37,-2.111111111111111
44982,84,85,-8.173652694610778
45288,52,47,7.2368421052631575
45594,10,9,-0.6312056737588653
45900,91,88,9.542635658914728
46206,65,44,-6.223021582733813
46512,66,46,-2.8349514563106797
46818,20,62,1.1956521739130435
47124,65,99,2.853801169590643
47430,77,85,4.773109243697479
47736,1,80,-1.9193548387096775
48042,69,60,-1.7536231884057971
48348,56,55,-2.52027027027027
48654,68,6,-6.065656565656566
48960,67,20,10.277372262773723
49266,89,8,2.3278688524590163
49572,28,52,-0.7575757575757576
49878,25,75,8.678899082568808
50184,13,1,-1.6115702479338843
50490,32,20,-2.550802139037433
50796,101,21,-0.014492753623188406
51102,66,100,0.6439393939393939
51408,87,49,-5.438709677419355
51714,100,53,0.27722772277227725
52020,74,10,4.2846153846153845
52326,8,29,-2.521276595744681
52632,31,52,3.5355191256830603
52938,84,58,2.0328947368421053
53244,24,18,-3.977777777777778
53550,18,66,11.077586206896552
53856,58,99,-6.307228915662651
54162,10,64,2.1285714285714286
54468,86,30,0.9407407407407408
54774,97,48,-3.0962566844919786
55080,54,100,0.24
55386,11,94,2.7181818181818183
55692,73,20,0.9391891891891891
55998,59,84,-2.386206896551724
56304,85,91,-5.26046511627907
56610,10,3,4.015463917525773
