step_time,gneJ00_offset,gneJ9_offset,reward
1020,87,18,-2.904320987654321
1530,22,32,-0.18134715025906736
2040,83,40,0.15126050420168066
2550,44,21,-0.06906906906906907
3060,85,42,-0.40970350404312667
3570,5,26,0.600609756097561
4080,90,78,-0.373134328358209
4590,31,96,0.35543766578249336
5100,71,33,-0.2601626016260163
5610,45,87,-0.14325068870523416
6120,18,18,0.36904761904761907
6630,60,85,0.04843304843304843
7140,76,44,-0.4725274725274725
7650,15,92,0.17857142857142858
8160,74,35,-0.06552706552706553
8670,74,38,-1.7200956937799043
9180,11,83,2.005361930294906
9690,74,61,-0.3285302593659942
10200,84,96,-0.021739130434782608
10710,3,75,0.6336336336336337
11220,56,22,-0.0027100271002710027
11730,77,92,-0.3488372093023256
12240,31,1,0.1830238726790451
12750,98,65,-0.011695906432748537
13260,63,64,-0.14244186046511628
13770,31,95,0.07161803713527852
14280,67,55,-0.5864022662889519
14790,52,49,0.033707865168539325
15300,16,83,-0.25
15810,22,70,1.0621301775147929
16320,101,49,0.04424778761061947
16830,101,55,-1.5866336633663367
17340,2,100,1.0591133004926108
17850,47,55,0.7110481586402266
18360,26,45,-0.32926829268292684
18870,99,9,-0.5395894428152492
19380,46,2,1.0157728706624605
19890,23,97,0.20063694267515925
20400,44,98,-0.09090909090909091
20910,27,49,-0.021406727828746176
21420,94,95,-1.0664739884393064
21930,30,32,0.824468085106383
22440,34,31,0.5386996904024768
22950,78,54,-0.9835616438356164
23460,39,48,0.10277777777777777
23970,15,96,0.4277286135693215
24480,47,18,-0.164021164021164
24990,68,37,-0.47164948453608246
25500,88,39,-0.019184652278177457
26010,7,93,0.17355371900826447
26520,52,81,0.6024464831804281
27030,99,0,-0.4730392156862745
27540,67,6,0.22580645161290322
28050,49,92,0.3556231003039514
28560,59,61,-0.1844380403458213
29070,53,97,-0.24507042253521127
29580,69,38,-0.21351351351351353
30090,5,28,0.7177914110429447
30600,56,85,-0.08757062146892655
31110,19,35,-0.2225201072386059
31620,42,93,0.4628099173553719
32130,80,82,-0.6656441717791411
32640,22,26,0.18586387434554974
33150,42,60,0.19680851063829788
33660,46,3,0.05432098765432099
34170,85,17,-0.5822102425876011
34680,1,64,0.32526881720430106
35190,74,11,-0.6468842729970327
35700,54,72,0.1833810888252149
36210,79,44,-0.37362637362637363
36720,48,50,0.8777777777777778
37230,68,62,-0.6470588235294118
37740,77,90,0.1261904761904762
38250,54,17,0.5819209039548022
38760,22,59,-0.20689655172413793
39270,45,69,0.24050632911392406
39780,60,83,-0.601010101010101
40290,6,73,0.4716417910447761
40800,53,68,-0.20294117647058824
41310,69,79,-0.4872389791183295
41820,58,101,0.29714285714285715
42330,69,2,-0.10344827586206896
42840,66,88,-0.058823529411764705
43350,85,51,0.11484593837535013
43860,71,4,-0.10385756676557864
44370,41,57,0.3434065934065934
44880,60,14,-0.44923857868020306
45390,37,51,0.4555256064690027
45900,60,59,-0.050505050505050504
46410,60,5,-0.9975186104218362
46920,27,11,1.5170603674540681
47430,83,7,-0.03205128205128205
47940,101,71,0.16857142857142857
48450,12,58,-0.03428571428571429
48960,24,8,-0.3175
49470,27,80,0.592375366568915
49980,61,40,-0.41847826086956524
50490,51,97,-0.7759103641456583
51000,90,79,0.0425531914893617
51510,54,81,0.4435028248587571
52020,35,78,0.6424242424242425
52530,3,86,-0.49002849002849
53040,70,62,-0.13872832369942195
53550,33,30,0.16533333333333333
54060,52,49,0.2948717948717949
54570,39,11,-0.07514450867052024
55080,70,25,-0.3911917098445596
55590,7,45,0.29923273657289
56100,12,76,0.2789473684210526
56610,45,24,0.02631578947368421
57120,87,98,-0.17159763313609466
57630,36,97,0.3054662379421222
58140,70,41,-0.9645776566757494
58650,98,97,-0.1615598885793872
59160,15,53,1.1380281690140845
59670,1,71,0.4472049689440994
60180,98,15,-1.0638977635782747
60690,33,6,0.7626582278481012
61200,30,91,0.3762057877813505
61710,10,21,-0.7774390243902439
62220,51,79,0.26330532212885155
62730,59,99,-0.5498783454987834
63240,31,1,0.29973474801061006
63750,42,99,0.4935897435897436
64260,101,33,-0.676056338028169
64770,72,65,0.21428571428571427
65280,66,20,-0.3128654970760234
65790,13,89,0.4668587896253602
66300,87,33,0.2958579881656805
66810,1,72,-0.4609375
67320,72,101,-0.2920353982300885
67830,61,87,0.3115264797507788
68340,63,9,-0.13533834586466165
68850,25,30,-0.1566579634464752
69360,14,41,0.9506172839506173
