step_time,reward_gneJ00,gneJ00_offset,reward_gneJ9,gneJ9_offset
1020.0,-1776,95,-1064,85
2040.0,-1542,92,-1299,6
3060.0,-1686,89,-1451,29
4080.0,-2199,86,-1415,52
5100.0,-2157,83,-1232,75
6120.0,-1795,80,-1216,98
7140.0,-1660,77,-1478,19
8160.0,-2002,74,-1308,42
9180.0,-2400,71,-1123,65
10200.0,-2351,68,-1274,88
11220.0,-2194,65,-1640,9
12240.0,-2382,62,-1472,32
13260.0,-2267,59,-1168,55
14280.0,-1764,56,-1405,78
15300.0,-1527,53,-1664,101
16320.0,-1809,50,-1326,22
17340.0,-1757,47,-1069,45
18360.0,-1674,44,-1233,68
19380.0,-1088,41,-1648,91
20400.0,-1357,38,-1395,12
21420.0,-1329,35,-1032,35
22440.0,-995,32,-1311,58
23460.0,-892,29,-1701,81
24480.0,-1113,26,-1395,2
25500.0,-1256,23,-1106,25
26520.0,-960,20,-1301,48
27540.0,-976,17,-1601,71
28560.0,-1325,14,-1300,94
29580.0,-1369,11,-1136,15
30600.0,-1122,8,-1335,38
31620.0,-1080,5,-1541,61
32640.0,-1519,2,-1262,84
33660.0,-1406,101,-1102,5
34680.0,-1321,98,-1358,28
35700.0,-1766,79,-1296,51
36720.0,-2246,76,-1214,74
37740.0,-2085,73,-1362,97
38760.0,-1731,70,-1592,18
39780.0,-2201,67,-1167,57
40800.0,-2017,64,-1444,96
41820.0,-2302,61,-1347,33
42840.0,-1858,58,-1278,72
43860.0,-1554,55,-1492,9
44880.0,-1916,52,-1206,48
45900.0,-1493,49,-1544,87
46920.0,-1894,46,-1261,24
47940.0,-1130,43,-1277,63
48960.0,-1057,40,-1554,0
49980.0,-1239,37,-1237,39
51000.0,-962,34,-1540,78
52020.0,-1262,31,-1174,15
53040.0,-967,28,-1438,54
54060.0,-957,25,-1386,93
55080.0,-1068,22,-1249,30
56100.0,-1037,19,-1581,69
57120.0,-1272,16,-1224,6
58140.0,-1076,13,-1427,45
59160.0,-1211,10,-1479,84
60180.0,-1187,7,-1285,21
61200.0,-1126,4,-1611,60
62220.0,-1430,1,-1192,99
63240.0,-1195,100,-1520,36
64260.0,-1627,97,-1440,75
65280.0,-1614,94,-1331,12
66300.0,-1636,91,-1521,51
67320.0,-1954,88,-1275,90
